Date,Symbol,Quantity,Currency,,,
15/04/2024,TAP,556,USD,,,
15/04/2024,TDG,30,USD,,,
15/04/2024,WYNN,268,USD,,,
16/04/2024,AIR,167,EUR,,,
16/04/2024,BAESY,616,USD,,,
16/04/2024,BDRBF,1045,USD,,,
16/04/2024,BTI,870,USD,,,
16/04/2024,BUD,581,USD,,,
16/04/2024,BYD,401,USD,,,
16/04/2024,CURLF,1614,USD,,,
16/04/2024,CZR,534,USD,,,
16/04/2024,DKNG,711,USD,,,
16/04/2024,GD,148,USD,,,
16/04/2024,GTBIF,1400,USD,,,
16/04/2024,HEI,460,EUR,,,
16/04/2024,HO,419,EUR,,,
16/04/2024,LMT,107,USD,,,
16/04/2024,LVS,631,USD,,,
16/04/2024,MGM,439,USD,,,
16/04/2024,MNST,471,USD,,,
16/04/2024,MO,502,USD,,,
16/04/2024,NOC,84,USD,,,
16/04/2024,PEP,325,USD,,,
16/04/2024,PM,503,USD,,,
16/04/2024,RHM,111,EUR,,,
16/04/2024,RRR,763,USD,,,
16/04/2024,RTX,532,USD,,,
16/04/2024,SAM,85,USD,,,
16/04/2024,STZ,110,USD,,,
16/04/2024,TAP,556,USD,,,
16/04/2024,TDG,30,USD,,,
16/04/2024,WYNN,268,USD,,,
17/04/2024,AIR,167,EUR,,,
17/04/2024,BAESY,616,USD,,,
17/04/2024,BDRBF,1045,USD,,,
17/04/2024,BTI,870,USD,,,
17/04/2024,BUD,581,USD,,,
17/04/2024,BYD,401,USD,,,
17/04/2024,CURLF,1614,USD,,,
17/04/2024,CZR,534,USD,,,
17/04/2024,DKNG,711,USD,,,
17/04/2024,GD,148,USD,,,
17/04/2024,GTBIF,1400,USD,,,
17/04/2024,HEI,460,EUR,,,
17/04/2024,HO,419,EUR,,,
17/04/2024,LMT,107,USD,,,
17/04/2024,LVS,631,USD,,,
17/04/2024,MGM,439,USD,,,
17/04/2024,MNST,471,USD,,,
17/04/2024,MO,502,USD,,,
17/04/2024,NOC,84,USD,,,
17/04/2024,PEP,325,USD,,,
17/04/2024,PM,503,USD,,,
17/04/2024,RHM,111,EUR,,,
17/04/2024,RRR,763,USD,,,
17/04/2024,RTX,532,USD,,,
17/04/2024,SAM,85,USD,,,
17/04/2024,STZ,110,USD,,,
17/04/2024,TAP,556,USD,,,
17/04/2024,TDG,30,USD,,,
17/04/2024,WYNN,268,USD,,,
18/04/2024,AIR,167,EUR,,,
18/04/2024,BAESY,616,USD,,,
18/04/2024,BDRBF,1045,USD,,,
18/04/2024,BTI,870,USD,,,
18/04/2024,BUD,581,USD,,,
18/04/2024,BYD,401,USD,,,
18/04/2024,CURLF,1614,USD,,,
18/04/2024,CZR,534,USD,,,
18/04/2024,DKNG,711,USD,,,
18/04/2024,GD,148,USD,,,
18/04/2024,GTBIF,1400,USD,,,
18/04/2024,HEI,460,EUR,,,
18/04/2024,HO,419,EUR,,,
18/04/2024,LMT,107,USD,,,
18/04/2024,LVS,631,USD,,,
18/04/2024,MGM,439,USD,,,
18/04/2024,MNST,471,USD,,,
18/04/2024,MO,502,USD,,,
18/04/2024,NOC,84,USD,,,
18/04/2024,PEP,325,USD,,,
18/04/2024,PM,503,USD,,,
18/04/2024,RHM,111,EUR,,,
18/04/2024,RRR,763,USD,,,
18/04/2024,RTX,532,USD,,,
18/04/2024,SAM,85,USD,,,
18/04/2024,STZ,110,USD,,,
18/04/2024,TAP,556,USD,,,
18/04/2024,TDG,30,USD,,,
18/04/2024,WYNN,268,USD,,,
19/04/2024,AIR,167,EUR,,,
19/04/2024,BAESY,616,USD,,,
19/04/2024,BDRBF,1045,USD,,,
19/04/2024,BTI,870,USD,,,
19/04/2024,BUD,581,USD,,,
19/04/2024,BYD,401,USD,,,
19/04/2024,CURLF,1614,USD,,,
19/04/2024,CZR,534,USD,,,
19/04/2024,DKNG,711,USD,,,
19/04/2024,GD,148,USD,,,
19/04/2024,GTBIF,1400,USD,,,
19/04/2024,HEI,460,EUR,,,
19/04/2024,HO,419,EUR,,,
19/04/2024,LMT,107,USD,,,
19/04/2024,LVS,631,USD,,,
19/04/2024,MGM,439,USD,,,
19/04/2024,MNST,471,USD,,,
19/04/2024,MO,502,USD,,,
19/04/2024,NOC,84,USD,,,
19/04/2024,PEP,325,USD,,,
